frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
225,7,0,0,7,7,0,5,5,5,7,7,3,7,3,3
226,4,1,1,3,3,6,7,7,0,6,6,6,1,1,1
227,4,1,1,7,7,0,3,3,3,4,6,6,1,7,7
228,6,6,6,5,0,0,1,1,4,2,4,4,0,0,1
229,5,5,5,4,1,1,6,6,5,1,2,2,5,5,5
230,4,2,2,0,0,3,3,3,3,1,1,2,3,4,4
231,3,0,0,3,3,3,1,1,1,5,4,4,2,2,4
232,7,7,0,6,1,1,0,0,2,5,7,7,5,5,6
233,3,3,0,4,4,1,1,1,1,3,3,3,1,7,7
234,7,7,7,6,4,4,6,6,6,4,4,6,4,4,4
235,0,0,0,2,2,2,2,4,4,6,0,0,5,5,6
236,0,0,0,1,1,7,0,0,0,7,3,3,0,0,5
237,1,1,1,2,5,5,4,5,5,4,4,4,2,4,4
238,3,3,0,2,2,2,5,0,0,3,3,0,3,3,3
239,1,1,1,0,0,0,3,3,3,1,1,1,2,0,0
240,3,3,0,6,6,4,2,2,2,7,7,3,5,5,5
241,6,4,4,7,7,0,4,4,4,0,0,2,5,5,5
242,4,4,4,0,0,3,1,1,1,5,5,7,0,1,1
243,3,3,0,3,3,6,2,2,2,7,7,7,5,6,6
244,2,2,2,1,5,5,5,5,5,3,3,3,0,0,0
245,4,1,1,6,1,1,1,4,4,3,3,3,3,3,4
246,1,1,3,3,3,3,4,4,6,3,3,5,6,2,2
247,4,1,1,2,2,2,0,0,0,4,4,6,2,4,4
248,7,7,0,7,7,7,5,5,5,3,3,3,5,5,5
249,0,0,5,4,1,1,3,3,3,4,4,4,2,0,0
250,5,5,5,2,2,2,1,1,4,5,5,5,3,3,0
251,0,0,0,7,7,0,2,2,2,0,0,1,0,0,0
252,6,4,4,4,1,1,2,2,4,6,6,0,0,5,5
253,5,6,6,3,3,3,1,1,1,3,3,3,5,5,6
254,6,6,4,3,3,3,5,5,1,5,5,7,0,5,5
255,7,7,0,2,5,5,2,2,2,0,0,1,3,3,3
256,0,3,3,1,1,1,4,6,6,5,5,7,7,3,3
257,3,3,4,3,3,3,2,4,4,3,3,5,6,6,6
258,7,7,0,1,7,7,7,7,7,6,1,1,2,2,0
259,1,1,3,1,1,7,4,4,5,4,4,6,0,0,0
260,6,6,6,1,5,5,2,4,4,6,6,6,3,3,4
261,3,3,3,1,1,5,1,4,4,6,1,1,6,6,2
262,0,5,5,1,1,5,1,4,4,6,6,0,7,7,3
263,0,0,3,1,5,5,6,6,5,6,0,0,1,1,1
264,4,4,1,2,2,2,6,6,5,2,4,4,5,5,5
265,2,7,7,4,4,4,2,4,4,2,5,5,5,5,6
266,0,0,0,3,3,3,5,5,0,6,1,1,4,4,4
267,4,2,2,6,1,1,1,1,1,3,3,3,4,6,6
268,5,6,6,0,3,3,4,4,6,2,5,5,3,4,4
269,4,4,2,2,2,2,1,1,4,3,3,3,3,0,0
