frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
264,1,1,0,2,2,8,4,4,4,4,4,4,3,3,3
265,4,4,0,1,1,2,0,0,1,0,0,5,4,4,4
266,0,0,1,4,1,1,1,1,8,5,5,5,0,0,1
267,5,4,4,1,1,2,6,6,6,1,1,1,1,7,7
268,4,4,5,3,3,3,1,1,1,2,2,0,5,5,4
269,1,1,3,4,4,1,6,6,4,1,1,3,1,1,1
270,5,5,5,3,3,3,3,3,3,3,3,3,1,1,1
271,1,1,3,0,0,5,5,5,5,4,4,4,4,0,0
272,1,1,1,5,5,3,3,3,3,5,3,3,3,3,1
273,3,1,1,4,4,1,5,5,5,2,2,0,3,3,2
274,1,0,0,0,4,4,3,3,3,1,2,2,6,1,1
275,1,5,5,3,0,0,3,3,0,0,0,5,1,3,3
276,2,2,2,2,8,0,0,0,2,1,1,3,0,0,4
277,0,2,2,5,3,3,0,0,0,4,8,1,7,7,7
278,1,0,0,0,0,4,0,0,0,1,2,2,4,4,0
279,3,3,3,3,3,3,0,2,2,1,1,1,3,3,3
280,3,3,3,0,0,4,4,4,5,3,3,0,4,4,5
281,3,3,3,2,2,3,4,5,5,3,3,3,5,5,5
282,5,5,0,2,3,3,3,3,3,1,1,1,0,0,0
283,5,0,0,4,4,1,5,3,3,1,1,0,1,1,1
284,3,3,1,2,2,3,5,5,3,1,1,1,0,0,0
285,7,7,7,6,4,4,3,7,7,1,1,1,5,0,0
286,7,3,3,1,1,1,0,1,1,1,1,1,7,7,3
287,3,3,3,1,2,2,2,2,2,3,3,3,3,3,3
288,3,3,3,5,3,3,4,4,1,5,5,5,5,0,0
289,5,4,4,5,5,1,4,5,5,0,0,0,4,4,4
290,0,0,0,3,0,0,6,4,4,1,1,2,3,3,6
291,1,7,7,4,4,4,4,4,1,0,0,0,1,5,5
292,2,2,2,3,3,3,3,3,3,0,0,5,6,6,6
293,5,5,4,0,0,0,0,6,6,7,7,7,0,0,0
294,3,3,2,5,5,5,4,5,5,3,3,0,1,3,3
295,3,3,3,4,4,4,4,4,1,0,4,4,4,4,4
296,3,1,1,3,3,3,4,1,1,3,3,0,4,1,1
297,0,0,0,0,0,7,1,1,3,0,0,0,3,3,3
298,3,3,3,4,4,1,1,1,1,0,4,4,2,2,2
299,5,5,5,5,3,3,3,3,3,5,1,1,4,4,4
300,1,3,3,1,1,2,6,6,4,4,4,1,4,4,0
301,0,0,1,6,6,4,0,0,2,5,5,5,0,0,0
302,6,6,1,0,0,4,0,1,1,3,3,3,0,0,0
303,1,1,1,2,2,3,5,3,3,0,0,0,2,4,4
304,5,5,4,6,6,4,0,0,4,2,2,2,3,3,3
305,5,5,0,2,2,0,5,5,5,1,1,1,2,2,4
306,6,6,1,3,0,0,1,1,1,4,1,1,0,2,2
307,0,0,0,2,0,0,1,1,0,3,0,0,7,3,3
308,1,1,1,7,7,7,1,1,4,1,0,0,5,5,0
309,1,0,0,5,5,1,1,1,1,1,1,2,3,3,3
310,7,7,3,3,3,3,0,0,0,7,7,7,5,5,5
311,5,5,5,1,1,2,4,4,1,0,0,5,0,1,1
312,2,2,4,5,1,1,6,4,4,3,3,3,3,1,1
313,1,0,0,0,0,5,0,0,0,1,1,1,3,3,6
314,0,0,3,1,1,1,0,0,0,6,6,4,2,4,4
315,1,1,0,1,1,2,1,8,3,1,1,0,7,7,3
316,5,5,0,3,3,0,3,3,3,1,1,3,0,0,0
317,2,2,2,6,6,6,3,5,5,0,0,0,3,1,1
318,4,4,4,1,1,0,3,5,5,2,3,3,3,6,6
